id_trip,lat,long
3491388,45.54977886,-73.59329571
1970496,45.47576416,-73.61374042
3136360,45.50619908,-73.55562167
3050907,45.54904775,-73.56075783
3232382,45.51641871,-73.6545611
3546786,45.5509944,-73.56277559
3120460,45.51114459,-73.56269522
1939624,45.48127543,-73.57790596
1704562,45.54403343,-73.61309239
1680544,45.47915381,-73.56335317
1446507,45.47334638,-73.62936046
1611967,45.47334638,-73.62936046
3211701,45.51700986,-73.55750262
1981284,45.50430968,-73.73518555
2538464,45.53557439,-73.62037915
3384549,45.59516496,-73.57626723
3064735,45.49926867,-73.62250535
1924720,45.57307491,-73.64163075
2240660,45.53927656,-73.60021848
3230331,45.47043351,-73.61855089
2428619,45.49541721,-73.56298671
3201795,45.44886203,-73.58240326
3582835,45.57513148,-73.61065826
3145323,45.55097956,-73.57314521
2983628,45.55097956,-73.57314521
2676160,45.53470746,-73.59993826
1737748,45.42540869,-73.62420146
2413563,45.59924554,-73.56875388
3295789,45.48903212,-73.62569644
2079251,45.52872231,-73.57852596
2084262,45.52872231,-73.57852596
2009679,45.50093616,-73.61671088
3035791,45.51503572,-73.56331079
3057505,45.55527697,-73.62049101
3241293,45.55527697,-73.62049101
2938375,45.49201197,-73.72467602
2885185,45.56338094,-73.64764172
2791340,45.54650724,-73.58625007
3151737,45.45655206,-73.54322206
2884003,45.68322618,-73.41670683
3577341,45.66145818,-73.6380415
2330463,45.55027748,-73.60006496
3081747,45.46262838,-73.8290957
2250203,45.46801383,-73.5991631
2221116,45.46801383,-73.5991631
2817832,45.49682787,-73.5629011
2738154,45.59211246,-73.51033594
3113729,45.57865462,-73.57076922
3112673,45.57865462,-73.57076922
2694363,45.49898264,-73.69450004
2471661,45.50066213,-73.62564404
3133435,45.52958323,-73.58266879
2599254,45.47219731,-73.48896614
2042863,45.58923276,-73.53698823
2569935,45.51962061,-73.59580759
3187031,45.65637757,-73.42203265
2105285,45.51765774,-73.55894957
3012136,45.56032559,-73.64276539
2811784,45.48862608,-73.62478819
2006125,45.50314801,-73.50190193
2569939,45.48979368,-73.62502516
3258434,45.50636292,-73.77898338
3388560,45.5354824,-73.61986681
2187867,45.52072236,-73.54877237
1623247,45.604252,-73.45105741
2569942,45.45419143,-73.6507047
3288527,45.53096384,-73.62416673
1473952,45.47846263,-73.56936319
2454007,45.49684835,-73.62108228
3551788,45.46359861,-73.40779123
1625075,45.54965862,-73.56013849
2584470,45.55169902,-73.58918172
3220575,45.54963767,-73.66866113
1623248,45.59135024,-73.43635477
2766408,45.51567291,-73.70427114
2421372,45.49953325,-73.5761503
3299353,45.52737811,-73.63070946
1687804,45.59790499,-73.5161032
3035793,45.52695428,-73.57686003
3035613,45.53631173,-73.67952619
