name,opening_hours,amenity,tourism,shop,healthcare,leisure,sport,craft,building,geometry
J.A de Sève Cinema,"""24/7 but only open when events happening""",cinema,,,,,,,,POINT (-73.5778047 45.4963996)
FOFA Gallery,Mo-Fr 11:00-18:00,,gallery,,,,,,,POINT (-73.5775043 45.4955911)
Cafe Myriade,"Mo-Fr 07:30-19:00; Sa, Su 09:00-19:00",cafe,,,,,,,,POINT (-73.57778639999999 45.4960824)
Resto Végo,Su-We 11:00-22:00; Th 11:00-22:30; Fr-Sa 11:00-23:00,restaurant,,,,,,,,POINT (-73.5646852 45.5156028)
Ben & Jerry's,12:00-21:00,ice_cream,,,,,,,,POINT (-73.5707884 45.5015542)
F bar,"Mo-Fr 11:30-14:30, Mo-We 17:00-22:00, Th-Sa 17:00-23:00",restaurant,,,,,,,,POINT (-73.567699 45.507945)
T! Brasserie,Mo-Su 11:30-22:00,bar,,,,,,,,POINT (-73.56672279999999 45.5075014)
Soupebol,Mo-Su 11:00-22:00,restaurant,,,,,,,,POINT (-73.5683399 45.5040798)
Banque royale,"Mo-We,Fr 09:30-17:00;Th 09:30-20:00;Sa 09:00-16:00;PH closed",bank,,,,,,,,POINT (-73.5746353 45.5331424)
Dunn's,24/7,restaurant,,,,,,,,POINT (-73.5716378 45.5005463)
The Keg Steakhouse + Bar - Place Ville Marie,"Mo-We 10:00-24:00, Tu-Fr 11:00-01:00, Sa 16:00-01:00, Su 16:00-24:00",restaurant,,,,,,,,POINT (-73.5689733 45.5005301)
Café Tommy,Mo-Su 08:00-20:00,cafe,,,,,,,,POINT (-73.557408 45.5037205)
Olive et Gourmando,"Mo-Fr 08:00-17:00; Sa, Su 08:00-18:00",restaurant,,,,,,,,POINT (-73.5564547 45.5011519)
Lapin Pressé Inc,"Mo-Fr 07:30-18:00, Su 09:00-17:00, Sa 08:30-18:00",restaurant,,,,,,,,POINT (-73.58416099999999 45.5332075)
Métro Beaulieu Laurier,Mo-Su 08:00-22:00,,,supermarket,,,,,,POINT (-73.58443459999999 45.5329444)
Ultramar,24/7,fuel,,,,,,,,POINT (-73.5637399 45.5193018)
Barserie Capri,Mo-Su 08:00-24:00,restaurant,,,,,,,,POINT (-73.5678501 45.4823939)
Jean Coutu,Mo-Sa 09:00-22:00; Su 10:00-22:00,pharmacy,,,pharmacy,,,,,POINT (-73.5729776 45.5343841)
SAQ,Su 10:00-19:00; Sa 09:30-19:00; Fr 09:30-21:00; Th 10:00-21:00; Mo-We 10:00-19:00,,,alcohol,,,,,,POINT (-73.5745596 45.5327335)
Bronzage Soft Tan,"Mo-Fr 10:00-21:00; Sa,Su 11:00-18:00",,,beauty,,,,,,POINT (-73.5668259 45.4771796)
Dépanneur Beau-Soir,24/7,,,convenience,,,,,,POINT (-73.5652747 45.4763425)
Dépanneur Richardson,Mo-Sa 10:00-23:00; Su 11:00-23:00,,,convenience,,,,,,POINT (-73.5632064 45.4749198)
Garage Lacroix,Mo-Th 07:00-18:00; Fr 07:00-17:00,,,car_repair,,,,,,POINT (-73.5659271 45.4763148)
