precipitation,temperature,dt
2.493082018578674e-06,9.700183114596143,2017-09-29 10:00:00
2.493082018578674e-06,9.40171263383644,2017-09-29 11:00:00
2.493082018578674e-06,9.716673196406077,2017-09-29 12:00:00
2.493082018578674e-06,10.62486445208782,2017-09-29 13:00:00
2.493082018578674e-06,11.45390331508196,2017-09-29 14:00:00
2.493082018578674e-06,12.196781500619181,2017-09-29 15:00:00
2.493082018578674e-06,12.740954200346835,2017-09-29 16:00:00
2.493082018578674e-06,13.551441721304798,2017-09-29 17:00:00
2.493082018578674e-06,13.990490149494121,2017-09-29 18:00:00
3.4903148260108374e-06,13.008093525667675,2017-09-29 19:00:00
3.4903148260108374e-06,12.946255718880423,2017-09-29 20:00:00
3.4903148260108374e-06,12.655205774935212,2017-09-29 21:00:00
3.4903148260108374e-06,12.294485235343018,2017-09-29 22:00:00
3.4903148260108374e-06,11.941185232565317,2017-09-29 23:00:00
5.983396844589511e-06,11.507908333009482,2017-09-30 00:00:00
1.6454341322618554e-05,11.219744153380987,2017-09-30 01:00:00
3.241006624152276e-05,10.966621397598601,2017-09-30 02:00:00
5.783950283102732e-05,10.810377872449521,2017-09-30 03:00:00
0.00010271497916544345,10.649187322757484,2017-09-30 04:00:00
0.00016903096085963895,10.531283237816467,2017-09-30 05:00:00
0.00020742442394575122,10.364321159490999,2017-09-30 06:00:00
0.0002847099665216936,9.50931041764619,2017-09-30 07:00:00
0.00029867122582573347,9.360075177266367,2017-09-30 08:00:00
0.0003036573898628908,9.236399563691919,2017-09-30 09:00:00
0.000304654622670323,9.076033518090355,2017-09-30 10:00:00
0.000304654622670323,8.784983574145144,2017-09-30 11:00:00
0.000304654622670323,8.872381007737772,2017-09-30 12:00:00
0.000304654622670323,9.8341650293018,2017-09-30 13:00:00
0.000304654622670323,11.188412997942123,2017-09-30 14:00:00
0.00030565185547775514,12.599551748826684,2017-09-30 15:00:00
0.000307646321092616,13.60214872287031,2017-09-30 16:00:00
0.000312133868726059,13.935248375430831,2017-09-30 17:00:00
0.0003161227999557842,13.791784663684496,2017-09-30 18:00:00
0.00032310342960780586,12.79372246213859,2017-09-30 19:00:00
0.0003275909772412454,12.727349882853616,2017-09-30 20:00:00
0.0003275909772412454,12.63830344108004,2017-09-30 21:00:00
0.0003275909772412454,12.335298187822616,2017-09-30 22:00:00
0.0003275909772412454,11.51739013005016,2017-09-30 23:00:00
0.0003275909772412454,10.698245316141993,2017-10-01 00:00:00
0.0,9.986286033998397,2017-10-01 01:00:00
0.0,9.473856741754844,2017-10-01 02:00:00
0.0,9.067376225140151,2017-10-01 03:00:00
0.0,8.766432232108968,2017-10-01 04:00:00
0.0,8.452296173629861,2017-10-01 05:00:00
0.0,8.167842262408612,2017-10-01 06:00:00
0.0,7.729206086264526,2017-10-01 07:00:00
0.0,7.403939222563679,2017-10-01 08:00:00
0.0,7.198225451984854,2017-10-01 09:00:00
0.0,7.01312428366839,2017-10-01 10:00:00
0.0,7.119897563387667,2017-10-01 11:00:00
0.0,7.690042141965932,2017-10-01 12:00:00
0.0,10.0336950192019,2017-10-01 13:00:00
0.0,11.70620156677387,2017-10-01 14:00:00
0.0,13.083947901993326,2017-10-01 15:00:00
0.0,14.179301586217775,2017-10-01 16:00:00
0.0,15.068116995772868,2017-10-01 17:00:00
0.0,15.759051423608867,2017-10-01 18:00:00
0.0,15.985790048495346,2017-10-01 19:00:00
0.0,16.131727272513217,2017-10-01 20:00:00
0.0,15.768533220649545,2017-10-01 21:00:00
0.0,14.723474285945372,2017-10-01 22:00:00
0.0,13.50032246769399,2017-10-01 23:00:00
0.0,12.613980570410376,2017-10-02 00:00:00
0.0,11.906143808719207,2017-10-02 01:00:00
0.0,11.393714516475711,2017-10-02 02:00:00
0.0,10.981874723272767,2017-10-02 03:00:00
0.0,10.58075348324627,2017-10-02 04:00:00
0.0,10.187465032079501,2017-10-02 05:00:00
0.0,9.733575530261248,2017-10-02 06:00:00
4.98616403714347e-07,8.845996876841866,2017-10-02 07:00:00
4.98616403714347e-07,8.582155567883035,2017-10-02 08:00:00
9.972328074321635e-07,9.057069924008943,2017-10-02 09:00:00
9.972328074321635e-07,9.514257442189205,2017-10-02 10:00:00
9.972328074321635e-07,9.563315435573713,2017-10-02 11:00:00
9.972328074321635e-07,9.645765844623384,2017-10-02 12:00:00
9.972328074321635e-07,11.080815214132315,2017-10-02 13:00:00
1.4958492111465105e-06,12.989129931586206,2017-10-02 14:00:00
1.4958492111465105e-06,14.801802174542559,2017-10-02 15:00:00
1.4958492111465105e-06,16.35104536058526,2017-10-02 16:00:00
1.4958492111465105e-06,17.467423899117364,2017-10-02 17:00:00
1.4958492111465105e-06,18.091161243577915,2017-10-02 18:00:00
1.4958492111465105e-06,18.142280497188665,2017-10-02 19:00:00
1.4958492111465105e-06,18.100643040618593,2017-10-02 20:00:00
1.4958492111465105e-06,17.64428002652886,2017-10-02 21:00:00
1.4958492111465105e-06,16.513884918458302,2017-10-02 22:00:00
1.4958492111465105e-06,15.268471489763499,2017-10-02 23:00:00
1.4958492111465105e-06,14.191256895529989,2017-10-03 00:00:00
0.0,13.206386759432007,2017-10-03 01:00:00
0.0,12.424344629596192,2017-10-03 02:00:00
0.0,11.625812417950442,2017-10-03 03:00:00
0.0,10.969507161915317,2017-10-03 04:00:00
0.0,10.547361067581164,2017-10-03 05:00:00
0.0,10.369680436079193,2017-10-03 06:00:00
0.0,10.22044519569937,2017-10-03 07:00:00
0.0,10.572508442341302,2017-10-03 08:00:00
0.0,10.676808209789101,2017-10-03 09:00:00
0.0,10.839235515616906,2017-10-03 10:00:00
0.0,10.960849868965113,2017-10-03 11:00:00
0.0,11.83111393648403,2017-10-03 12:00:00
0.0,13.956273229738485,2017-10-03 13:00:00
0.0,15.970948974866417,2017-10-03 14:00:00
0.0,17.645104530619335,2017-10-03 15:00:00
0.0,19.09293371353101,2017-10-03 16:00:00
0.0,20.256721237266675,2017-10-03 17:00:00
0.0,21.0808130757178,2017-10-03 18:00:00
0.0,21.461733965527173,2017-10-03 19:00:00
9.972328074321635e-07,21.348364653083877,2017-10-03 20:00:00
9.972328074321635e-07,20.51314200941107,2017-10-03 21:00:00
1.4958492111465105e-06,18.879387154092456,2017-10-03 22:00:00
1.4958492111465105e-06,17.57048691042945,2017-10-03 23:00:00
1.4958492111465105e-06,16.887385271453184,2017-10-04 00:00:00
